TransactionID,Date,AccountHolder,TransactionCode,TransactionDescription,Amount,SourceSortCode,SourceAccountNumber,DestinationSortCode,DestinationAccountNumber,Beneficiary,IBAN,SWIFT,SuspicionType,SuspicionNotes
SUS000000,2024-03-24,Dr Brian Elliott,CHQ,Cheque,21089.21,50-56-35,49325587,74-16-54,12128610,Jeremy Hayes,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000001,2023-12-02,Tina Singh-Rowley,CHQ,Cheque,18183.85,58-93-13,37624462,47-44-32,21680921,"Stephens, Robinson and Waters",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000002,2023-03-15,Rowe Inc,FPO,Faster Payment Outgoing,13651.6,76-34-54,30868096,19-98-56,95197911,Lesley Brooks-Roberts,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000003,2024-10-04,Wells-Wilson,SEPA,SEPA Credit Transfer,8394.22,49-15-93,36628852,52-94-77,09299452,Kimberley Carey,DE22647293387848651631,ZSFRGBKN5L4,Money Laundering,Large international transactions with no clear source
SUS000004,2024-06-03,Elliot Cook,FPO,Faster Payment Outgoing,4698.23,14-30-61,28816350,25-43-38,70959786,Toby Patel,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000005,2023-01-24,Gail West,REF,Refund,898.76,33-78-15,31040965,24-58-92,18536937,Dr Shaun McLean,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000006,2024-04-15,"Green, Tyler and Foster",ATM,ATM Transaction,355.97,41-72-54,02742195,61-68-30,17001271,"Barrett, Ryan and Chapman",,,Round-Tripping,Funds sent back and forth between same entities
SUS000007,2024-08-04,Melanie Harris-Wallis,ATM,ATM Transaction,95.11,25-56-34,82748784,58-95-28,56029506,Margaret Clarke,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000008,2023-04-25,Mrs Stephanie Bailey,CHQ,Cheque,4833.47,73-34-73,40341165,33-16-50,97725375,Moore-Newman,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000009,2024-06-07,Janice Graham,CHQ,Cheque,15201.06,82-40-69,69704402,20-41-21,90973455,Cooper Ltd,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000010,2023-03-07,Cooper-Clark,BGC,Bank Giro Credit,970.16,46-87-78,48865476,94-91-22,94989124,Ryan Newman,,,Structuring,Many small deposits just below reporting threshold
SUS000011,2024-06-10,Ms June Brown,REF,Refund,478.74,16-16-23,30418233,22-12-93,67724597,Sophie Hunter,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000012,2024-08-26,Laura Lowe-Bentley,MT103,SWIFT Credit Transfer,20197.7,62-95-84,98064483,56-20-25,74601817,Trevor Day,DE35332215654369212942,JYEQGBKTE0Y,Money Laundering,Large international transactions with no clear source
SUS000013,2024-05-24,Lawrence Webb,ATM,ATM Transaction,429.18,86-29-48,55580785,32-25-77,10255653,Harper Ltd,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000014,2024-10-06,"Parsons, Pearce and Gregory",CHQ,Cheque,9090.98,89-65-15,26114791,75-10-17,24613390,Smith-Shaw,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000015,2023-05-02,Rachel Hodgson,REF,Refund,958.03,77-90-98,02346412,13-88-65,61230675,"Edwards, Hayes and Akhtar",,,Fake Refunds,Frequent large refunds without matching purchases
SUS000016,2023-03-11,Karen Bird,POS,Point of Sale,950.08,81-38-73,10861268,68-15-98,27882008,Foster-Goodwin,,,Structuring,Many small deposits just below reporting threshold
SUS000017,2025-03-23,Jacob Roberts-Adams,CHQ,Cheque,22987.63,87-22-57,09468680,11-26-41,99681420,Gavin Thomson,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000018,2024-09-10,Kerry Short-Clarke,FPO,Faster Payment Outgoing,1834.47,51-12-14,15538089,62-55-92,52477544,Justin Walters-Macdonald,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000019,2023-12-01,Stanley Taylor,REF,Refund,941.6,16-21-13,70342634,32-77-68,10901280,Shirley Hunt-Foster,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000020,2024-07-10,Ben Burke,FPO,Faster Payment Outgoing,3753.63,80-89-68,98928205,85-67-58,31197525,Jones-O'Connor,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000021,2024-09-09,"Brown, Brown and Hall",FPO,Faster Payment Outgoing,4870.08,67-26-37,35820505,93-57-53,70815377,Ms Naomi Freeman,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000022,2023-02-15,Mr Jack Davies,ATM,ATM Transaction,56.43,14-31-44,44808699,89-48-24,62037202,"Stone, Cooke and Hall",,,Account Takeover,Multiple transactions from different IPs/devices
SUS000023,2023-05-07,"Hale, West and Clarke",REF,Refund,656.67,14-61-38,67892851,90-10-89,02658826,Tracey Bowen,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000024,2024-11-10,Mrs Marie Collins,SEPA,SEPA Credit Transfer,14093.63,77-33-24,65210754,50-10-56,17155958,Brandon Jones,DE55806364125501277595,WPGKGBV76IE,Money Laundering,Large international transactions with no clear source
SUS000025,2023-05-12,Clive Simpson,ATM,ATM Transaction,173.25,70-28-99,44186711,79-32-21,07120456,Dawn Reynolds-Knight,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000026,2023-07-23,Dr Marc Wilson,CHQ,Cheque,9103.58,86-16-17,98935362,29-66-56,93781125,Christian White,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000027,2023-09-13,Leach PLC,MT103,SWIFT Credit Transfer,10328.28,46-23-63,55482521,91-64-17,91317300,Glen Anderson,DE10108367708644236215,EWQTGBHU7JH,Money Laundering,Large international transactions with no clear source
SUS000028,2024-03-05,Jacob Ashton-Stevenson,FPO,Faster Payment Outgoing,21285.66,93-28-77,93146393,76-65-38,51029500,Allan Stanley,,,Money Laundering,Large international transactions with no clear source
SUS000029,2024-12-30,Miss Georgia Hayes,FPO,Faster Payment Outgoing,15419.98,72-55-81,78849290,31-98-72,90015891,"Dean, Johnson and Wilson",,,Money Laundering,Large international transactions with no clear source
SUS000030,2024-10-10,Dr Frederick Moss,FPO,Faster Payment Outgoing,11275.63,11-97-32,43353639,20-31-34,58984971,Gary Parsons,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000031,2024-12-14,Nicholls and Sons,FPO,Faster Payment Outgoing,443.57,78-44-13,34522645,11-17-36,42074187,Lorraine Chapman,,,Round-Tripping,Funds sent back and forth between same entities
SUS000032,2023-09-23,Robin Lane,TFR,Transfer,12568.65,97-30-57,54382936,50-62-84,17885303,Alex Thorpe,,,Money Laundering,Large international transactions with no clear source
SUS000033,2023-01-12,Hayes-Sullivan,ATM,ATM Transaction,213.92,30-11-47,61851565,89-51-48,85804907,Mandy Wright,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000034,2025-02-03,Shaun Naylor,ATM,ATM Transaction,485.71,34-76-50,50711932,56-14-50,39403034,Mrs Jodie Murphy,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
